Box_1,Box_2,Box_3,Box_4,Score,Type,Accept
910.013793945312,28.125,0.04803466796875,6.25,0.738659143447876,USV,1
1594.73852539062,35.3125,0.0560302734375,6.875,0.775590300559998,USV,1
1603.92431640625,35.3125,0.0560302734375,6.5625,0.719280064105988,USV,1
2245.09985351562,33.75,0.0576171875,8.4375,0.739770472049713,USV,1
2586.72778320312,25,0.04638671875,12.8125,0.716288864612579,USV,1
4001.5009765625,27.8125,0.049560546875,5.9375,0.84559577703476,USV,1
4001.73950195312,29.6875,0.16162109375,5,0.798812627792358,USV,1
4002.26098632812,28.4375,0.054443359375,5.9375,0.721714496612549,USV,1
4002.4833984375,29.6875,0.052734375,5,0.751744747161865,USV,1
4003.4208984375,29.375,0.04638671875,5,0.807727575302124,USV,1
4003.70092773438,28.75,0.059326171875,5.625,0.772718548774719,USV,1
4004.31860351562,30,0.06396484375,5,0.766248881816864,USV,1
4004.7666015625,28.75,0.0625,5.9375,0.812024056911469,USV,1
4119.2333984375,27.5,0.0927734375,8.125,0.717962503433228,USV,1
8190.45703125,28.75,0.0224609375,5.3125,0.786330461502075,USV,1
