Box_1,Box_2,Box_3,Box_4,Score,Type,Accept
510.820343017578,28.4375,0.048004150390625,6.25,0.721091389656067,USV,1
724.955627441406,36.25,0.02880859375,5.3125,0.721023797988892,USV,1
1553.25646972656,28.125,0.0511474609375,6.875,0.706539630889893,USV,1
1691.13488769531,39.0625,0.0447998046875,6.25,0.736305892467499,USV,1
1691.22131347656,37.5,0.052734375,10.3125,0.733105301856995,USV,1
1691.31091308594,37.5,0.0479736328125,7.5,0.750791609287262,USV,1
1691.3876953125,38.125,0.0400390625,6.5625,0.800271987915039,USV,1
1691.47253417969,38.125,0.02880859375,5.625,0.747865915298462,USV,1
1691.54931640625,38.4375,0.0272216796875,5.3125,0.73226398229599,USV,1
1885.501953125,32.8125,0.020751953125,11.5625,0.727015733718872,USV,1
2139.94165039062,44.375,0.02392578125,10.3125,0.71821653842926,USV,1
2141.02490234375,43.125,0.02392578125,11.875,0.773722350597382,USV,1
2141.44580078125,42.5,0.019287109375,14.6875,0.703034639358521,USV,1
2141.71923828125,43.4375,0.025634765625,11.25,0.792271316051483,USV,1
2144.59936523438,43.75,0.02392578125,10,0.725618839263916,USV,1
2730.35986328125,36.5625,0.030517578125,5.3125,0.704462826251984,USV,1
4049.20239257812,35.625,0.031982421875,6.25,0.735350131988525,USV,1
4541.8447265625,33.75,0.04638671875,10.625,0.716395556926727,USV,1
5403.4404296875,35.3125,0.02880859375,5.625,0.713029384613037,USV,1
5503.2578125,45,0.03662109375,9.0625,0.881060123443604,USV,1
5503.337890625,44.0625,0.03173828125,12.5,0.716431736946106,USV,1
5503.50244140625,44.6875,0.0224609375,11.875,0.745041608810425,USV,1
5503.77294921875,45.625,0.02099609375,7.1875,0.757553815841675,USV,1
5504.02392578125,45.3125,0.0302734375,10.3125,0.717283427715302,USV,1
5504.169921875,45,0.03662109375,11.25,0.773170948028564,USV,1
5504.751953125,44.6875,0.03515625,11.875,0.813067674636841,USV,1
5505.0751953125,43.75,0.03662109375,19.0625,0.746344804763794,USV,1
5505.16650390625,43.75,0.02880859375,10.3125,0.713194787502289,USV,1
5505.4111328125,44.6875,0.0322265625,7.1875,0.800965547561646,USV,1
5505.505859375,44.375,0.03369140625,16.875,0.780996918678284,USV,1
5505.716796875,44.0625,0.04296875,10,0.757135212421417,USV,1
5505.8193359375,42.8125,0.03515625,20.625,0.734988451004028,USV,1
5506.23681640625,44.375,0.02734375,9.0625,0.769039630889893,USV,1
5506.73779296875,45.3125,0.0224609375,7.8125,0.813302576541901,USV,1
5507.24169921875,36.25,0.04296875,5.9375,0.740041673183441,USV,1
6307.2958984375,34.6875,0.044921875,6.5625,0.705891788005829,USV,1
6880.982421875,45.625,0.02880859375,7.1875,0.713273644447327,USV,1
6882.00830078125,44.0625,0.04638671875,6.875,0.754555404186249,USV,1
6882.4208984375,45.3125,0.03662109375,9.6875,0.743991076946259,USV,1
7025.8466796875,45.9375,0.02392578125,5.625,0.746270954608917,USV,1
7025.93603515625,45.3125,0.02392578125,5.9375,0.83364474773407,USV,1
7026.08203125,45.3125,0.02685546875,6.875,0.740309476852417,USV,1
7026.17626953125,45,0.02734375,5.625,0.725865542888641,USV,1
7026.56494140625,44.6875,0.02734375,10.3125,0.776827216148376,USV,1
7026.708984375,46.25,0.025390625,8.4375,0.754465103149414,USV,1
7027.2578125,44.375,0.02392578125,9.6875,0.836670458316803,USV,1
7027.34765625,43.75,0.0302734375,10.9375,0.710102200508118,USV,1
7027.5185546875,44.375,0.03857421875,11.5625,0.874952137470245,USV,1
7027.646484375,45,0.0302734375,11.25,0.741149306297302,USV,1
7027.73291015625,42.5,0.044921875,13.75,0.844661891460419,USV,1
7028.68359375,42.1875,0.0224609375,13.125,0.879330098628998,USV,1
7029.01318359375,44.6875,0.03515625,12.1875,0.892788350582123,USV,1
7029.1728515625,45,0.03369140625,11.25,0.874723315238953,USV,1
7029.3330078125,42.8125,0.04638671875,12.5,0.705150067806244,USV,1
7029.47216796875,44.6875,0.0322265625,16.25,0.842709481716156,USV,1
7031.142578125,44.6875,0.025390625,5,0.715526461601257,USV,1
7354.5830078125,35,0.0224609375,5,0.729676127433777,USV,1
7413.56298828125,35.625,0.0322265625,5.9375,0.739428818225861,USV,1
7673.08154296875,35.625,0.0302734375,5.9375,0.701103627681732,USV,1
8449.951171875,29.0625,0.0244140625,9.6875,0.706447720527649,USV,1
