Box_1,Box_2,Box_3,Box_4,Score,Type,Accept
1981.66467285156,31.25,0.02880859375,5.9375,0.710659265518188,USV,1
4457.6953125,32.1875,0.04150390625,6.25,0.721052765846252,USV,1
6769.68212890625,27.8125,0.10693359375,8.125,0.764001429080963,USV,1
6769.994140625,29.0625,0.1728515625,40.9375,0.700326561927795,USV,1
6771.85986328125,37.5,0.11181640625,25.625,0.772222757339478,USV,1
6773.44189453125,53.75,0.05126953125,6.25,0.771130740642548,USV,1
7018.36962890625,32.8125,0.0625,9.6875,0.76893675327301,USV,1
7173.36181640625,27.1875,0.0400390625,10.9375,0.734307289123535,USV,1
7194.1142578125,33.4375,0.06103515625,10.9375,0.712585866451263,USV,1
7195.1748046875,25.3125,0.0576171875,8.75,0.746175348758698,USV,1
7290.3134765625,33.125,0.0224609375,6.25,0.826475322246552,USV,1
7995.34765625,39.0625,0.13916015625,7.5,0.719442129135132,USV,1
7997.17333984375,37.5,0.1328125,28.75,0.728561043739319,USV,1
7997.53955078125,37.1875,0.0478515625,7.5,0.715042889118195,USV,1
8037.87255859375,31.5625,0.04296875,8.125,0.832182466983795,USV,1
8046.7626953125,37.1875,0.0576171875,8.125,0.739677309989929,USV,1
