Box_1,Box_2,Box_3,Box_4,Score,Type,Accept
78.9176712036133,33.75,0.0624008178710938,31.25,0.709700703620911,USV,1
1952.64001464844,38.125,0.1231689453125,5.625,0.714122712612152,USV,1
1953.17761230469,34.375,0.0736083984375,29.6875,0.72829270362854,USV,1
1953.51208496094,44.375,0.118408203125,17.1875,0.70104193687439,USV,1
1953.75366210938,41.25,0.04638671875,6.5625,0.732018291950226,USV,1
1954.72973632812,33.125,0.2352294921875,29.6875,0.74841970205307,USV,1
1981.03674316406,36.25,0.060791015625,25,0.706392168998718,USV,1
1982.77600097656,62.5,0.0416259765625,6.5625,0.772219300270081,USV,1
1983.44799804688,61.25,0.0560302734375,6.25,0.79232132434845,USV,1
1983.61279296875,39.0625,0.049560546875,8.4375,0.763057172298431,USV,1
2332.07568359375,32.5,0.0576171875,7.1875,0.730054438114166,USV,1
3181.29223632812,35,0.09912109375,5.3125,0.846546828746796,USV,1
3585.87475585938,28.75,0.124755859375,6.25,0.832776367664337,USV,1
3586.15161132812,29.0625,0.0576171875,5.625,0.771225452423096,USV,1
3589.90698242188,23.125,0.0927734375,5.3125,0.847313404083252,USV,1
3590.06372070312,30.9375,0.052734375,5.9375,0.7789666056633,USV,1
3590.39184570312,22.5,0.187255859375,6.5625,0.734423816204071,USV,1
4171.9833984375,30,0.04150390625,8.125,0.75039154291153,USV,1
4994.0048828125,31.875,0.0498046875,6.5625,0.729409754276276,USV,1
5301.310546875,30.625,0.01611328125,10,0.722629070281982,USV,1
5389.3564453125,37.1875,0.09619140625,26.25,0.751463770866394,USV,1
5389.52783203125,55.3125,0.07177734375,5.625,0.814217150211334,USV,1
5390.10888671875,29.375,0.0478515625,5.625,0.737409830093384,USV,1
5450.5517578125,29.6875,0.12646484375,4.6875,0.846381306648254,USV,1
5453.65771484375,29.6875,0.09619140625,5,0.755120635032654,USV,1
5453.82421875,31.875,0.044921875,5.625,0.807483911514282,USV,1
5453.974609375,22.5,0.115234375,6.875,0.727318525314331,USV,1
5454.40625,30,0.0517578125,25.9375,0.707044899463654,USV,1
5455.40966796875,27.8125,0.0498046875,6.875,0.755806565284729,USV,1
5456.0146484375,28.75,0.1181640625,4.6875,0.834085643291473,USV,1
5457.20361328125,28.125,0.087890625,5.9375,0.707970499992371,USV,1
