deploymentID,locationID,locationName,longitude,latitude,coordinateUncertainty,start,end,setupBy,cameraID,cameraModel,cameraInterval,cameraHeight,cameraTilt,cameraHeading,timestampIssues,baitUse,session,array,featureType,habitat,tags,comments,_id
185bb29a-c1d5-4d99-905c-00c00931da0d,4cae046a-f7df-4cf7-b704-ead5ea350972,ARTIS Insects 0182,4.91974,52.36554,,2022-04-02T11:37:52+01:00,2022-04-30T12:00:22+01:00,Rotem Zilber,28b54387-990c-4bbd-be8c-692bdb2828e9,Snyper Hunting Products-Snyper Commander 4G,,0.25,,,,none,,,,,,,
1875b83a-6c6a-4a08-bc8a-07c8f62c4de5,13af2c1f-1984-4b25-a250-23267642af5e,ARTIS 26 0169,4.91626,52.36563,,2021-09-01T05:40:16+01:00,2021-09-30T20:30:07+01:00,Rotem Zilber,370c7db3-2573-42e9-9f8a-1534460be5ac,Snyper Hunting Products-Snyper Commander 4G,,0.20,,,,none,,,none,,,,
1a6b60a6-b693-474b-9eac-a9c29b04a2a2,cf103cde-92c7-4332-b3c2-af17c9bdb849,ARTIS Wolves 0168,4.91805,52.36519,,2021-10-01T03:03:34+01:00,2021-10-31T23:03:39+01:00,Rotem Zilber,7b3d18bc-a500-47e2-b3da-dafb51ba53cf,Snyper Hunting Products-Snyper Commander 4G,,0.20,,,,none,,,none,,,,
1a6d1b11-345e-4e75-b4e6-2dd1fc737181,40acc9a6-b67e-4c28-b87d-608de88c3c4e,ARTIS Mammal House 0164,4.91634,52.36625,,2022-07-25T13:55:26+01:00,2022-07-31T23:14:18+01:00,Rotem Zilber,67fc77cb-e5da-4800-9175-5bd7bd25cf97,Snyper Hunting Products-Snyper Commander 4G,,0.20,,,,none,,,none,,,,
1aef7457-b498-4c95-b6b2-4298f6583bae,388fb13a-e633-4f7e-8c6c-2ee26e565a28,ARTIS Spider Monkeys Tree 0166,4.91472,52.36694,,2021-12-01T12:00:20+01:00,2021-12-31T16:24:53+01:00,Rotem Zilber,5198b1ec-0a9d-42df-a5ff-0b3f747f90e5,Snyper Hunting Products-Snyper Commander 4G,,1.72,,,,none,,,,,,,
1c453a9f-5ce1-4728-9f5c-665d3bc1b761,13af2c1f-1984-4b25-a250-23267642af5e,ARTIS 26 0169,4.91626,52.36563,,2022-05-01T01:06:42+01:00,2022-05-31T19:33:11+01:00,Rotem Zilber,370c7db3-2573-42e9-9f8a-1534460be5ac,Snyper Hunting Products-Snyper Commander 4G,,0.25,,,,none,,,none,,,,
20dda1bc-cd45-4b97-9147-efac894dd2fc,13af2c1f-1984-4b25-a250-23267642af5e,ARTIS 26 0169,4.91626,52.36563,,2022-07-01T00:12:59+01:00,2022-07-31T23:32:03+01:00,Rotem Zilber,370c7db3-2573-42e9-9f8a-1534460be5ac,Snyper Hunting Products-Snyper Commander 4G,,0.20,,,,none,,,none,,,null,
22a99c7a-fdc6-47c7-96d0-226165a4b463,40acc9a6-b67e-4c28-b87d-608de88c3c4e,ARTIS Mammal House 0164,4.91634,52.36625,,2022-08-01T04:54:13+01:00,2022-08-31T12:20:02+01:00,Rotem Zilber,67fc77cb-e5da-4800-9175-5bd7bd25cf97,Snyper Hunting Products-Snyper Commander 4G,,,,,,none,,,none,,,,
22ec4311-ce92-4354-bb8d-4309052be2d4,13af2c1f-1984-4b25-a250-23267642af5e,ARTIS 26 0169,4.91626,52.36563,,2022-09-01T12:00:27+01:00,2022-09-30T20:35:33+01:00,Rotem Zilber,370c7db3-2573-42e9-9f8a-1534460be5ac,Snyper Hunting Products-Snyper Commander 4G,,,,,,none,,,none,,,,
26f17a3f-82cd-489c-a151-188669cd0457,93a5a12e-b58d-4dd7-a7c9-fd14b6b902ca,ARTIS Spider Monkeys 0170,4.91472,52.36718,,2022-04-01T00:43:23+01:00,2022-04-30T20:41:07+01:00,Rotem Zilber,43807176-f67a-454c-8340-0262a5a0a932,Snyper Hunting Products-Snyper Commander 4G,,0.25,,,,none,,,none,,,,
29725a86-46d9-42d0-99da-3c6a4cc7ae1d,4cae046a-f7df-4cf7-b704-ead5ea350972,ARTIS Insects 0182,4.91974,52.36554,,2021-10-01T12:00:18+01:00,2021-10-31T12:00:19+01:00,Rotem Zilber,28b54387-990c-4bbd-be8c-692bdb2828e9,Snyper Hunting Products-Snyper Commander 4G,,0.20,,,,none,,,,,,,
29e8af08-f954-4495-8f1f-5c2e1912cc4e,b9cc478b-ac06-47de-bd47-f62f46993146,ARTIS Kinderboerderij 0188,4.91333,52.36667,,2022-02-12T12:00:27+01:00,2022-02-28T12:00:21+01:00,Rotem Zilber,7ecd147e-572a-4f69-be53-0434e945a4a9,Snyper Hunting Products-Snyper Commander 4G,,0.25,,,,none,,,,,,null,
2a0ed377-acc8-4ce4-a567-524282122f38,4cae046a-f7df-4cf7-b704-ead5ea350972,ARTIS Insects 0182,4.91974,52.36554,,2022-02-01T12:00:23+01:00,2022-02-28T12:00:22+01:00,Rotem Zilber,28b54387-990c-4bbd-be8c-692bdb2828e9,Snyper Hunting Products-Snyper Commander 4G,,0.25,,,,none,,,,,,,
2afa7d7a-34dd-4c66-b20b-ecd5e873ed6c,66538fb4-4515-4277-8aa8-40b337ebecbd,ARTIS Vultures 0201,4.91832,52.36578,,2022-01-01T12:00:19+01:00,2022-01-31T12:00:19+01:00,Rotem Zilber,15c8dbeb-5a59-4b1d-bd49-ead5e68bdce5,Snyper Hunting Products-Snyper Commander 4G,,0.20,,,,none,,,none,,,,
2c5c763b-ee64-4199-bbf4-258619379700,40acc9a6-b67e-4c28-b87d-608de88c3c4e,ARTIS Mammal House 0164,4.91634,52.36625,,2022-01-01T12:00:18+01:00,2022-01-31T18:47:02+01:00,Rotem Zilber,67fc77cb-e5da-4800-9175-5bd7bd25cf97,Snyper Hunting Products-Snyper Commander 4G,,0.20,,,,none,,,none,,,,
2da4d3e1-0666-4315-b0ec-3da6b6ff0bfb,8ab05123-c63b-4c80-9233-588d1ed73769,ARTIS Salmhuisje 0213,4.91969,52.36463,,2022-05-01T08:19:24+01:00,2022-05-31T14:11:02+01:00,Rotem Zilber,4b3aae44-e9dd-4dea-8ef1-89e95f6897fb,Snyper Hunting Products-Snyper Commander 4G,,0.25,,,,none,,,,,,,
2e51f010-169e-45c6-85b7-de1e24da3008,66538fb4-4515-4277-8aa8-40b337ebecbd,ARTIS Vultures 0201,4.91832,52.36578,,2021-11-01T12:00:19+01:00,2021-11-30T12:00:22+01:00,Rotem Zilber,15c8dbeb-5a59-4b1d-bd49-ead5e68bdce5,Snyper Hunting Products-Snyper Commander 4G,,0.20,,,,none,,,none,,,,
2e57ff36-a169-49ab-af37-3ec4f5b98f86,8ab05123-c63b-4c80-9233-588d1ed73769,ARTIS Salmhuisje 0213,4.91969,52.36463,,2022-01-01T12:00:19+01:00,2022-01-31T12:00:19+01:00,Rotem Zilber,4b3aae44-e9dd-4dea-8ef1-89e95f6897fb,Snyper Hunting Products-Snyper Commander 4G,,0.20,,,,none,,,,,,null,
