deploymentID,locationID,locationName,longitude,latitude,coordinateUncertainty,start,end,setupBy,cameraID,cameraModel,cameraInterval,cameraHeight,cameraTilt,cameraHeading,timestampIssues,baitUse,session,array,featureType,habitat,tags,comments,_id
0541e710-6581-48a8-b0ea-1fec92495b0e,8cf903b0-9bda-47bd-a09b-3f1ff919056a,flevopark_7,4.94783,52.36000,,2021-12-02T12:57:19+01:00,2021-12-02T17:06:50+01:00,,,,,,,,,scent,,,,,,,
06f198b8-8838-48db-8823-a4a475b97df4,,,,,,,,,,,,,,,,,,,,,,,
0854b386-b4bc-4941-898f-3b3da78ad2f1,2eb9a2d0-9add-4a6d-8585-df3a5a2ebefd,flevopark_1,4.95059,52.36087,,2021-09-28T11:32:02+01:00,2021-11-18T11:44:41+01:00,,,,,,,,,scent,,,,,,,
0d26bd75-618b-4b6a-b08d-378bc6f945dc,21afebe6-cb82-4c66-8d45-a8452e9d42e6,flevopark_13,4.94960,52.36197,,2021-11-18T12:27:49+01:00,2021-11-24T12:56:20+01:00,,,,,,,,,scent,,,,,,,
0e27317a-0053-4bcf-9dbb-b3d6f6eaf411,9678e8f6-e507-4f2d-af27-91fc746bec34,flevopark_10,4.94861,52.35915,,2021-11-24T14:18:58+01:00,2021-12-02T13:19:51+01:00,,,,,,,,,,,,,,,,
16304a54-3cfd-44ab-b9c4-f45f0f1d972c,6bb43f6c-7d93-42dc-bc04-20db36690639,flevopark_8,4.94768,52.35905,,2021-11-11T16:33:12+01:00,2021-11-24T14:40:09+01:00,,,,,,,,,scent,,,,,,,
1aa1643a-696d-4708-9fae-d0bfbfac327a,2eb9a2d0-9add-4a6d-8585-df3a5a2ebefd,flevopark_1,4.95059,52.36087,,2021-11-24T14:00:04+01:00,2021-12-02T11:35:19+01:00,,,,,,,,,,,,,,,null,
1cef8ce0-63f3-4c45-a5b6-5b2e24e1123e,2eb9a2d0-9add-4a6d-8585-df3a5a2ebefd,flevopark_1,4.95059,52.36087,,2021-12-09T11:05:34+01:00,2021-12-16T12:01:57+01:00,,,,,,,,,,,,,,,,
1ed02769-2efc-4a3d-bc15-881e2f0a4c4f,64c6c826-2ef1-4bf8-b14a-1dbde887498a,flevopark_4,4.94838,52.36188,,2021-12-09T12:10:25+01:00,2021-12-16T13:03:17+01:00,,,,,,,,,,,,,,,null,
23823b1f-dd09-4120-953c-ec2fde2b1b97,d80e73d8-8abe-4b36-81b8-4c7ff03dd7da,flevopark_3,4.95035,52.36167,,2021-09-28T11:44:18+01:00,2021-10-28T13:58:59+01:00,,,,,,,,,,,,,,,,
