deploymentID,locationName,longitude,latitude,start_utc,end_utc,running_time(sec)
0854b386-b4bc-4941-898f-3b3da78ad2f1,flevopark_1,4.95059,52.36087,2021-09-28 10:32:02,2021-11-18 10:44:41,4407159.0
1aa1643a-696d-4708-9fae-d0bfbfac327a,flevopark_1,4.95059,52.36087,2021-11-24 13:00:04,2021-12-02 10:35:19,682515.0
1cef8ce0-63f3-4c45-a5b6-5b2e24e1123e,flevopark_1,4.95059,52.36087,2021-12-09 10:05:34,2021-12-16 11:01:57,608183.0
413c5cc2-28bd-4a39-b63b-c6885598b57a,flevopark_1,4.95059,52.36087,2021-12-02 10:36:17,2021-12-09 10:03:07,602810.0
e99914e6-514b-4411-8dcb-a2f5528ee5b3,flevopark_1,4.95059,52.36087,2021-11-18 10:47:06,2021-11-19 15:50:39,104613.0
9fefffff-ae0e-4eaa-b1fb-5c597e915741,flevopark_1,4.95059,52.36087,2021-09-09 10:28:26,2021-09-28 10:31:24,1641778.0
d0ac14a5-04e5-42f9-b90e-18c34da9da67,flevopark_10,4.94861,52.35915,2021-11-18 13:02:08,2021-11-24 13:18:16,519368.0
0e27317a-0053-4bcf-9dbb-b3d6f6eaf411,flevopark_10,4.94861,52.35915,2021-11-24 13:18:58,2021-12-02 12:19:51,687653.0
f07ac7a8-6598-42c8-b8ed-d1c8ff9019dc,flevopark_10,4.94861,52.35915,2021-09-16 12:18:04,2021-09-30 14:54:53,1219009.0
a41abcaf-77b9-4692-b1f4-f6069be71402,flevopark_10,4.94861,52.35915,2021-12-02 12:24:13,2021-12-09 12:19:02,604489.0
6348529d-3b77-4823-88af-f907457a3866,flevopark_10,4.94861,52.35915,2021-09-30 14:55:39,2021-11-18 13:00:31,4226692.0
f5e4f94c-2667-4833-881a-b724761d32d0,flevopark_10,4.94861,52.35915,2021-12-09 12:21:11,2021-12-16 13:05:16,607445.0
61501a38-0aa4-444d-b06b-108523de6757,flevopark_11,4.94898,52.35951,2021-09-30 14:32:17,2021-11-18 12:41:17,4226940.0
41d94dbc-85b0-49e9-8d73-0e025479bbe5,flevopark_11,4.94898,52.35951,2021-12-02 12:12:40,2021-12-09 12:05:01,604341.0
52b5d82e-ee6f-45da-ab6e-13d825ed6c0e,flevopark_11,4.94898,52.35951,2021-12-09 12:08:30,2021-12-09 15:52:57,13467.0
775f4d5f-3d37-4b80-98f0-04017370f918,flevopark_11,4.94898,52.35951,2021-11-24 13:09:11,2021-12-02 12:10:41,687690.0
8980022e-1785-4063-84f0-8f80d5be5750,flevopark_11,4.94898,52.35951,2021-09-16 12:35:45,2021-09-30 14:31:16,1216531.0
35c1d017-86d8-405d-a397-0c439293145e,flevopark_11,4.94898,52.35951,2021-11-18 12:42:27,2021-11-24 13:08:41,519974.0
637de6cd-6485-4704-b7fe-cb570d53024c,flevopark_12,4.94821,52.36007,2021-11-18 12:16:09,2021-11-24 12:56:46,520837.0
a8f467a1-4a67-45be-89aa-0e58e4af71f0,flevopark_12,4.94821,52.36007,2021-12-02 11:50:49,2021-12-09 11:51:55,604866.0
79e4c3d0-d441-466e-8c5f-96623d93dcf2,flevopark_12,4.94821,52.36007,2021-09-16 12:54:40,2021-09-30 14:11:17,1214197.0
801a6582-dffe-4a08-9970-3b4f85c75c6e,flevopark_12,4.94821,52.36007,2021-11-24 13:00:37,2021-11-26 13:01:10,172833.0
758a1f48-750c-4994-83b4-1448b8097f93,flevopark_12,4.94821,52.36007,2021-09-30 14:11:36,2021-11-18 12:14:33,4226577.0
ff5e3a8c-1be3-4348-b6a5-7a67a0d4bf9f,flevopark_13,4.9496,52.36197,2021-11-24 13:00:37,2021-11-26 13:01:10,172833.0
0d26bd75-618b-4b6a-b08d-378bc6f945dc,flevopark_13,4.9496,52.36197,2021-11-18 11:27:49,2021-11-24 11:56:20,520111.0
36d8f92c-5bef-4eb6-8adf-1c205766770e,flevopark_13,4.9496,52.36197,2021-09-28 11:22:21,2021-11-11 13:39:32,3809831.0
889e75ed-882b-4825-a9b8-c4b52feb3ff9,flevopark_2,4.95183,52.36102,2021-11-18 10:29:01,2021-11-22 16:42:26,368005.0
7b0e12ef-3546-44b9-b7c1-08c500776509,flevopark_2,4.95183,52.36102,2021-09-09 10:55:25,2021-09-15 21:17:58,555753.0
ae6650a9-1fff-4595-b733-84417768af53,flevopark_2,4.95183,52.36102,2021-12-02 10:14:23,2021-12-09 09:49:41,603318.0
d2ebff1c-99fa-42bf-b5c2-d01aaddb59a1,flevopark_2,4.95183,52.36102,2021-09-11 22:22:17,2021-11-18 10:27:47,5832330.0
