Box_1,Box_2,Box_3,Box_4,Score,Type,Accept
115.616477966309,28.75,0.0271987915039062,5.625,0.714818179607391,USV,1
191.094161987305,28.75,0.041595458984375,5.9375,0.776705265045166,USV,1
207.600967407227,28.125,0.048004150390625,6.25,0.76186591386795,USV,1
271.308258056641,28.75,0.041595458984375,6.5625,0.726191818714142,USV,1
319.625518798828,45.625,0.02880859375,6.875,0.733251392841339,USV,1
320.663909912109,40,0.041595458984375,17.5,0.70208215713501,USV,1
320.771118164062,40.9375,0.03680419921875,15.3125,0.845037162303925,USV,1
320.882019042969,42.8125,0.03680419921875,6.25,0.7354576587677,USV,1
321.038818359375,41.5625,0.02398681640625,14.6875,0.769714117050171,USV,1
321.139617919922,43.125,0.02880859375,5.9375,0.745839834213257,USV,1
321.404144287109,41.25,0.03680419921875,10.3125,0.866570055484772,USV,1
321.512939453125,43.4375,0.03680419921875,12.8125,0.727950572967529,USV,1
321.6025390625,44.0625,0.049591064453125,12.1875,0.728816032409668,USV,1
321.705474853516,41.875,0.0447998046875,14.0625,0.888200700283051,USV,1
322.369995117188,40,0.0447998046875,18.75,0.741397321224213,USV,1
322.706512451172,41.5625,0.041595458984375,9.0625,0.832233905792236,USV,1
344.456420898438,29.375,0.0303955078125,5.625,0.733366787433624,USV,1
