Box_1,Box_2,Box_3,Box_4,Score,Type,Accept
3.8016459941864,36.875,0.0208001136779785,4.0625,0.752591013908386,USV,1
6.87527847290039,35,0.0240001678466797,8.125,0.731378853321075,USV,1
25.0322933197021,36.5625,0.0256004333496094,5.3125,0.770655930042267,USV,1
29.752347946167,36.25,0.0256004333496094,5,0.71470719575882,USV,1
43.8597106933594,35.625,0.0415992736816406,5.625,0.726898610591888,USV,1
62.7767295837402,37.1875,0.0256004333496094,5,0.712219893932343,USV,1
178.386077880859,36.25,0.025604248046875,5.9375,0.771942794322968,USV,1
298.709075927734,35.9375,0.027191162109375,4.375,0.711259007453918,USV,1
421.355316162109,36.25,0.027191162109375,5.625,0.773884177207947,USV,1
473.303100585938,36.875,0.027191162109375,5,0.75430291891098,USV,1
501.612243652344,32.8125,0.02398681640625,10.3125,0.772111594676971,USV,1
532.276611328125,35.9375,0.02880859375,5,0.716573059558868,USV,1
581.816345214844,34.6875,0.043212890625,12.8125,0.730851054191589,USV,1
607.781494140625,35.625,0.02557373046875,4.6875,0.836034059524536,USV,1
624.295288085938,35.9375,0.02557373046875,5.3125,0.703295230865479,USV,1
704.51220703125,35.625,0.02557373046875,5.3125,0.746054351329803,USV,1
732.821350097656,36.5625,0.02874755859375,5,0.785966753959656,USV,1
751.695129394531,35.625,0.02880859375,5.625,0.705609977245331,USV,1
787.087585449219,36.25,0.0272216796875,5.3125,0.716199100017548,USV,1
794.166076660156,35.9375,0.02081298828125,5,0.737340986728668,USV,1
874.339782714844,35.9375,0.0303955078125,5.625,0.723226368427277,USV,1
902.690490722656,35,0.02398681640625,5.625,0.784817039966583,USV,1
907.410583496094,35.3125,0.0272216796875,5.625,0.776657104492188,USV,1
909.770568847656,35.3125,0.02557373046875,5,0.720560729503632,USV,1
914.879455566406,35.9375,0.02557373046875,5.625,0.705593943595886,USV,1
926.278015136719,35.9375,0.0303955078125,5.625,0.708865582942963,USV,1
933.362854003906,36.5625,0.02398681640625,4.375,0.734864056110382,USV,1
945.786987304688,37.5,0.0447998046875,8.75,0.754745662212372,USV,1
1004.14288330078,35.625,0.0272216796875,5.625,0.713534235954285,USV,1
1011.21655273438,34.6875,0.0272216796875,7.1875,0.714741587638855,USV,1
1037.17211914062,36.5625,0.0240478515625,4.6875,0.752571284770966,USV,1
1072.56286621094,36.875,0.020751953125,4.0625,0.763526141643524,USV,1
1074.92297363281,35.625,0.02880859375,5.3125,0.769270777702332,USV,1
1096.14880371094,36.25,0.0303955078125,5.625,0.706552445888519,USV,1
1166.93518066406,36.25,0.0272216796875,5,0.711296021938324,USV,1
1202.31958007812,36.875,0.0272216796875,4.6875,0.765476703643799,USV,1
1213.72778320312,35.3125,0.0272216796875,5.625,0.708450555801392,USV,1
1251.82580566406,36.25,0.025634765625,5,0.729989469051361,USV,1
1287.25817871094,35.9375,0.0240478515625,5.3125,0.720889806747437,USV,1
1289.57507324219,36.25,0.0240478515625,4.6875,0.715518712997437,USV,1
1291.97509765625,36.25,0.0224609375,5.3125,0.714264035224915,USV,1
1310.845703125,35.625,0.031982421875,5.3125,0.714733481407166,USV,1
1341.52124023438,35.9375,0.0240478515625,5,0.751976132392883,USV,1
1353.31811523438,35.9375,0.02880859375,5.625,0.735519230365753,USV,1
1358.03662109375,35.3125,0.031982421875,5.625,0.71788763999939,USV,1
1360.39184570312,35.3125,0.02880859375,6.25,0.736495971679688,USV,1
1381.62890625,35.9375,0.0303955078125,5.3125,0.761813044548035,USV,1
1405.22277832031,33.75,0.025634765625,9.6875,0.706266343593597,USV,1
1442.97204589844,35.625,0.0272216796875,5,0.704294919967651,USV,1
1501.95190429688,36.5625,0.0240478515625,4.6875,0.703467130661011,USV,1
1506.67199707031,35.625,0.0224609375,4.375,0.796030402183533,USV,1
1513.74877929688,35,0.031982421875,5.9375,0.707829654216766,USV,1
1532.62426757812,35.9375,0.0224609375,5.3125,0.707746922969818,USV,1
1546.77795410156,36.875,0.025634765625,5,0.8035808801651,USV,1
1551.498046875,36.5625,0.0240478515625,5,0.742733418941498,USV,1
1629.31652832031,36.25,0.0240478515625,4.375,0.734158158302307,USV,1
1645.86877441406,36.5625,0.02880859375,5.3125,0.773631453514099,USV,1
1648.23193359375,35.3125,0.0240478515625,5,0.755080282688141,USV,1
1662.37939453125,35.625,0.031982421875,6.25,0.726302862167358,USV,1
1693.0517578125,35.625,0.031982421875,6.25,0.703131318092346,USV,1
1707.21032714844,35.625,0.0224609375,5.3125,0.745489060878754,USV,1
1785.06555175781,36.5625,0.0272216796875,5,0.7169429063797,USV,1
1806.30261230469,36.5625,0.0240478515625,4.375,0.773331701755524,USV,1
1813.37316894531,34.375,0.0416259765625,8.125,0.712175786495209,USV,1
1836.97497558594,36.25,0.0224609375,5,0.70101922750473,USV,1
1844.05187988281,36.875,0.025634765625,5.625,0.741377890110016,USV,1
1851.12561035156,35.9375,0.0272216796875,5.625,0.709415078163147,USV,1
1964.36853027344,35.9375,0.031982421875,5.9375,0.714478313922882,USV,1
1985.60717773438,36.875,0.0272216796875,5,0.748153209686279,USV,1
2044.55346679688,35.3125,0.0303955078125,5.3125,0.705633938312531,USV,1
2108.29174804688,35.3125,0.02880859375,5,0.720902442932129,USV,1
2110.64208984375,36.25,0.03369140625,5,0.708479523658752,USV,1
2245.13330078125,36.25,0.025634765625,5,0.72534167766571,USV,1
2263.99926757812,35.625,0.030517578125,5.9375,0.743680477142334,USV,1
2270.68725585938,35,0.031982421875,5.9375,0.747511982917786,USV,1
2334.78247070312,35.625,0.02880859375,6.25,0.747156977653503,USV,1
2370.1748046875,35.9375,0.025634765625,5.3125,0.736012041568756,USV,1
2417.36083984375,35.3125,0.02880859375,5,0.742125391960144,USV,1
2438.59326171875,36.25,0.025634765625,5.3125,0.735377073287964,USV,1
2459.78393554688,35.3125,0.02880859375,5.625,0.702019393444061,USV,1
2544.75927734375,36.5625,0.027099609375,5.625,0.761819362640381,USV,1
2584.865234375,35.625,0.030517578125,5.9375,0.704269647598267,USV,1
2594.30859375,36.25,0.02392578125,4.6875,0.721870958805084,USV,1
2646.21166992188,36.25,0.027099609375,4.6875,0.707863450050354,USV,1
2716.98999023438,35.3125,0.030517578125,5.3125,0.745483756065369,USV,1
2725.24291992188,35.625,0.0302734375,5.9375,0.739494919776917,USV,1
2731.1455078125,35.9375,0.027099609375,5.3125,0.741179704666138,USV,1
2754.7392578125,36.5625,0.020751953125,4.6875,0.73725813627243,USV,1
2757.09936523438,35.625,0.027099609375,5.3125,0.746354699134827,USV,1
2818.43920898438,34.0625,0.02392578125,8.4375,0.703640580177307,USV,1
2827.87133789062,35.625,0.030517578125,5,0.720441520214081,USV,1
2874.67016601562,35,0.02880859375,5.9375,0.782087564468384,USV,1
2896.29931640625,35.625,0.025634765625,5,0.711485922336578,USV,1
2993.02685546875,36.25,0.027099609375,5.625,0.734595775604248,USV,1
