Box_1,Box_2,Box_3,Box_4,Score,Type,Accept
52.8166198730469,48.125,0.0303993225097656,5.625,0.711552739143372,USV,1
746.456665039062,38.125,0.02398681640625,6.5625,0.730614125728607,USV,1
1069.6796875,35,0.0303955078125,6.25,0.7535719871521,USV,1
1289.091796875,36.875,0.0303955078125,5.625,0.749452173709869,USV,1
1909.58227539062,48.75,0.0303955078125,5.3125,0.726098299026489,USV,1
3160.50073242188,31.5625,0.02392578125,6.25,0.771924436092377,USV,1
3263.78369140625,35.9375,0.02880859375,5.625,0.714035749435425,USV,1
3332.93310546875,44.375,0.04150390625,5.9375,0.725474178791046,USV,1
3520.98974609375,48.4375,0.02392578125,5.3125,0.783361077308655,USV,1
3782.14965820312,28.4375,0.04150390625,7.1875,0.70920193195343,USV,1
3990.48486328125,36.25,0.031982421875,5.625,0.730359435081482,USV,1
4724.23095703125,47.8125,0.02392578125,5.3125,0.741904377937317,USV,1
4747.33349609375,30.625,0.01611328125,9.0625,0.73285698890686,USV,1
5805.89501953125,35.3125,0.025390625,7.5,0.708585977554321,USV,1
5969.6376953125,32.5,0.0224609375,11.25,0.713905453681946,USV,1
6446.51025390625,35.9375,0.0302734375,6.25,0.717950999736786,USV,1
8137.10595703125,35.9375,0.0224609375,7.8125,0.735567033290863,USV,1
